timestamp,machine_id,temperature,vibration,pressure,rpm,maintenance_notes,failure_label
2026-08-01 00:00:00,MCH-103,64.84,5.57,108.25,1856.66,Routine check completed. Parameters normal.,0
2026-08-01 00:15:00,MCH-104,56.82,5.17,85.47,1748.22,Routine check completed. Parameters normal.,0
2026-08-01 00:30:00,MCH-101,69.64,3.96,101.58,1917.34,Routine check completed. Parameters normal.,0
2026-08-01 00:45:00,MCH-103,85.28,6.24,79.99,1705.02,Elevated sensor readings observed.,0
2026-08-01 01:00:00,MCH-103,77.57,2.88,90.98,1974.26,Routine check completed. Parameters normal.,0
2026-08-01 01:15:00,MCH-104,60.05,5.42,104.8,1530.8,Routine check completed. Parameters normal.,0
2026-08-01 01:30:00,MCH-101,77.08,5.39,76.11,1825.28,Routine check completed. Parameters normal.,0
2026-08-01 01:45:00,MCH-101,79.62,4.04,106.61,2187.79,Routine check completed. Parameters normal.,0
2026-08-01 02:00:00,MCH-103,64.39,4.99,99.71,1599.93,Routine check completed. Parameters normal.,0
2026-08-01 02:15:00,MCH-102,76.84,2.62,108.29,1664.45,Routine check completed. Parameters normal.,0
2026-08-01 02:30:00,MCH-103,75.7,5.89,103.36,1902.78,Elevated sensor readings observed.,0
2026-08-01 02:45:00,MCH-103,61.28,4.22,120.46,1835.92,Routine check completed. Parameters normal.,0
2026-08-01 03:00:00,MCH-103,79.29,3.72,101.88,1870.13,Routine check completed. Parameters normal.,0
2026-08-01 03:15:00,MCH-103,81.73,6.07,93.56,1897.84,Elevated sensor readings observed.,0
2026-08-01 03:30:00,MCH-104,88.0,3.44,101.83,1926.94,Elevated sensor readings observed.,0
2026-08-01 03:45:00,MCH-101,87.65,2.39,108.15,2021.94,Elevated sensor readings observed.,0
2026-08-01 04:00:00,MCH-104,58.47,2.17,100.73,1881.96,Routine check completed. Parameters normal.,0
2026-08-01 04:15:00,MCH-104,63.75,5.41,100.61,1751.75,Routine check completed. Parameters normal.,0
2026-08-01 04:30:00,MCH-104,81.18,2.58,89.47,1934.51,Routine check completed. Parameters normal.,0
2026-08-01 04:45:00,MCH-103,81.17,7.13,90.06,2179.98,Elevated sensor readings observed.,0
2026-08-01 05:00:00,MCH-102,81.18,1.38,78.96,1773.47,Routine check completed. Parameters normal.,0
2026-08-01 05:15:00,MCH-101,121.23,7.04,126.24,1605.09,Critical anomaly detected! Maintenance needed.,1
2026-08-01 05:30:00,MCH-102,81.85,4.82,81.34,2021.42,Routine check completed. Parameters normal.,0
2026-08-01 05:45:00,MCH-104,88.63,4.35,89.61,1775.92,Elevated sensor readings observed.,0
2026-08-01 06:00:00,MCH-104,86.45,3.68,89.22,1365.47,Elevated sensor readings observed.,0
2026-08-01 06:15:00,MCH-102,82.82,5.1,113.42,1969.48,Routine check completed. Parameters normal.,0
2026-08-01 06:30:00,MCH-102,71.22,4.44,95.58,1692.93,Routine check completed. Parameters normal.,0
2026-08-01 06:45:00,MCH-102,84.11,6.15,118.72,1781.89,Elevated sensor readings observed.,0
